question,option1,option2,option3,answer
Tko je bio najbolji strijelac World Cupa 2006?,Klose,Ronaldo,Henry,Klose
Koja država je izgubila finale WC 2014?,Argentina,Brazil,Njemačka,Argentina
Koji igrač ima najviše asistencija na SP 2022?,Griezmann,Messi,Modrić,Griezmann
Koji klub je prvi osvojio Ligu prvaka?,Real Madrid,AC Milan,Benfica,Real Madrid
Koji klub je izgubio finale Lige prvaka 2019?,Tottenham,Liverpool,Ajax,Tottenham
Koji igrač je zabio hat-trick u finalu WC 2022?,Mbappe,Messi,Neymar,Mbappe
Koji golman je branio za Italiju 2006?,Buffon,Neuer,Casillas,Buffon
Koji igrač je dobio crveni karton u finalu 2006?,Zidane,Materazzi,Henry,Zidane
Koji klub je poznat kao "Rossoneri"?,AC Milan,Inter,Juventus,AC Milan
Koji klub je poznat kao "Nerazzurri"?,Inter,Milan,Roma,Inter
Koja država nikad nije osvojila SP?,Nizozemska,Argentina,Engleska,Nizozemska
Koji igrač je najmlađi strijelac u finalu SP?,Pele,Messi,Mbappe,Pele
Koji stadion je bio domaćin finala 2018?,Luzhniki,Maracana,Wembley,Luzhniki
Koji igrač je osvojio Zlatnu loptu SP 2014?,Messi,Neuer,Robben,Messi
Koji igrač je zabio najbrži gol na SP?,Hakan Sukur,Ronaldo,Klose,Hakan Sukur
Koja država ima nadimak "Oranje"?,Nizozemska,Belgija,Danska,Nizozemska
Koji igrač je poznat kao "El Pistolero"?,Suarez,Cavani,Forlan,Suarez
Koji klub ima stadion San Siro?,Milan i Inter,Juventus,Roma,Milan i Inter
Koji igrač je zabio gol rukom protiv Engleske?,Maradona,Messi,Pele,Maradona
Koji igrač je osvojio 5 Liga prvaka s Realom?,Modrić,Benzema,Ronaldo,Ronaldo
Koji klub ima najviše Bundesliga titula?,Bayern,Dortmund,Leipzig,Bayern
Koji igrač je bio kapetan Francuske 2018?,Lloris,Griezmann,Pogba,Lloris
Koji igrač je bio najbolji strijelac Euro 2020?,Ronaldo,Schick,Kane,Ronaldo
Koja država je bila domaćin Euro 2012?,Poljska i Ukrajina,Njemačka,Francuska,Poljska i Ukrajina
Koji igrač je zabio gol u finalu Euro 2016?,Eder,Ronaldo,Pepe,Eder
